year,parent_entity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,fugitive_methane_emissions_MtCH4,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,0.9125,Million bbl/yr,0.3389277,0.005404077,0.001298972,0.018254082,0.000651931,0.363884831
1963,Abu Dhabi National Oil Company,1.825,Million bbl/yr,0.677855399,0.010808155,0.002597944,0.036508164,0.001303863,0.727769662
1964,Abu Dhabi National Oil Company,7.3,Million bbl/yr,2.711421597,0.04323262,0.010391775,0.146032655,0.005215452,2.911078647
1965,Abu Dhabi National Oil Company,10.95,Million bbl/yr,4.067132395,0.064848929,0.015587663,0.219048983,0.007823178,4.366617971
1966,Abu Dhabi National Oil Company,13.505,Million bbl/yr,5.016129954,0.079980346,0.019224785,0.270160412,0.009648586,5.385495497
1967,Abu Dhabi National Oil Company,14.6,Million bbl/yr,5.422843194,0.086465239,0.020783551,0.292065311,0.010430904,5.822157294
1968,Abu Dhabi National Oil Company,18.25,Million bbl/yr,6.778553992,0.108081549,0.025979439,0.365081638,0.01303863,7.277696618
1969,Abu Dhabi National Oil Company,22.265,Million bbl/yr,8.26983587,0.13185949,0.031694915,0.445399599,0.015907129,8.878789874
1970,Abu Dhabi National Oil Company,25.7325,Million bbl/yr,9.557761129,0.152394984,0.036631008,0.51476511,0.018384468,10.26155223
1971,Abu Dhabi National Oil Company,34.31,Million bbl/yr,12.7436815,0.203193312,0.048841345,0.68635348,0.024512624,13.68206964
1972,Abu Dhabi National Oil Company,37.96,Million bbl/yr,14.0993923,0.224809622,0.054037232,0.759369808,0.02712035,15.13760897
1973,Abu Dhabi National Oil Company,117.7125,Million bbl/yr,43.72167325,0.69712599,0.167567379,2.354776568,0.084099163,46.94114319
1974,Abu Dhabi National Oil Company,302.1105,Million bbl/yr,112.2121828,1.78918196,0.430063626,6.043561444,0.21584148,120.4749898
1975,Abu Dhabi National Oil Company,300.6213,Million bbl/yr,111.6590528,1.780362506,0.427943704,6.013770782,0.214777528,119.8811298
1976,Abu Dhabi National Oil Company,347.3997,Million bbl/yr,129.0338424,2.057397132,0.494534201,6.949548038,0.248198144,138.5353217
1977,Abu Dhabi National Oil Company,361.7223,Million bbl/yr,134.3536515,2.142219532,0.514922864,7.236064108,0.258430861,144.246858
1978,Abu Dhabi National Oil Company,316.7397,Million bbl/yr,117.6458717,1.87582013,0.450888744,6.336210885,0.226293246,126.3087914
1979,Abu Dhabi National Oil Company,322.9155,Million bbl/yr,119.9397343,1.912394926,0.459680186,6.459754512,0.230705518,128.771564
1980,Abu Dhabi National Oil Company,294.1827,Million bbl/yr,109.2675789,1.742231336,0.418778158,5.88496998,0.210177499,117.3135584
1981,Abu Dhabi National Oil Company,248.127,Million bbl/yr,92.16122008,1.469476739,0.353216447,4.963649957,0.177273213,98.94756322
1982,Abu Dhabi National Oil Company,199.728,Million bbl/yr,74.18449489,1.182844471,0.284318976,3.995453452,0.142694766,79.64711179
1983,Abu Dhabi National Oil Company,185.712,Million bbl/yr,68.97856542,1.099837842,0.264366767,3.715070753,0.132681098,74.05784078
1984,Abu Dhabi National Oil Company,179.58,Million bbl/yr,66.70097128,1.063522441,0.255637676,3.592403323,0.128300119,71.61253472
1985,Abu Dhabi National Oil Company,173.886,Million bbl/yr,64.58606244,1.029800998,0.247532091,3.478497852,0.124232066,69.34189338
1986,Abu Dhabi National Oil Company,284.643,Million bbl/yr,105.7242709,1.685734593,0.405198101,5.694133306,0.203361904,113.5093369
1987,Abu Dhabi National Oil Company,395.4,Million bbl/yr,146.8624794,2.341668188,0.56286411,7.90976876,0.282491741,157.6767804
1988,Abu Dhabi National Oil Company,378.6,Million bbl/yr,140.6224954,2.24217394,0.538948792,7.573693607,0.270489057,150.9773118
1989,Abu Dhabi National Oil Company,536.6,Million bbl/yr,199.3080587,3.177893651,0.763866671,10.7344004,0.383371443,213.9842195
1990,Abu Dhabi National Oil Company,595.7,Million bbl/yr,221.2594309,3.527900201,0.847997346,11.91666477,0.42559517,237.5519932
1991,Abu Dhabi National Oil Company,722.7,Million bbl/yr,268.4307381,4.280029336,1.028785768,14.45723288,0.516329746,288.1967861
1992,Abu Dhabi National Oil Company,672.3,Million bbl/yr,249.7107862,3.981546593,0.957039811,13.44900743,0.480321694,268.0983801
1993,Abu Dhabi National Oil Company,654.1,Million bbl/yr,242.9508036,3.873761158,0.931131549,13.08492601,0.467318786,260.8406223
1994,Abu Dhabi National Oil Company,678.2,Million bbl/yr,251.9022092,4.016488025,0.965438644,13.56703382,0.484536922,270.4511697
1995,Abu Dhabi National Oil Company,683.6,Million bbl/yr,253.9079183,4.048468319,0.97312571,13.67505798,0.488394928,272.6045703
1996,Abu Dhabi National Oil Company,673.8,Million bbl/yr,250.2679277,3.990430008,0.959175108,13.47901414,0.481393362,268.6965469
1997,Abu Dhabi National Oil Company,708.1,Million bbl/yr,263.0078949,4.193564097,1.008002217,14.16516757,0.505898842,282.3746288
1998,Abu Dhabi National Oil Company,748.3,Million bbl/yr,277.9392851,4.431639619,1.065228158,14.9693474,0.53461955,298.4055002
1999,Abu Dhabi National Oil Company,673.4,Million bbl/yr,250.1193566,3.988061097,0.958605695,13.47101235,0.481107584,268.5370358
2000,Abu Dhabi National Oil Company,695.4,Million bbl/yr,258.2907642,4.118351184,0.989923375,13.91111076,0.496825384,277.3101495
2001,Abu Dhabi National Oil Company,669.8,Million bbl/yr,248.7822172,3.966740901,0.953480984,13.39899624,0.47853558,267.1014353
2002,Abu Dhabi National Oil Company,616.9,Million bbl/yr,229.1336963,3.653452466,0.878176201,12.3407596,0.440741414,246.0060846
2003,Abu Dhabi National Oil Company,675.3,Million bbl/yr,250.8250691,3.999313423,0.961310404,13.50902085,0.48246503,269.2947138
2004,Abu Dhabi National Oil Company,713.6,Million bbl/yr,265.0507468,4.226136619,1.015831637,14.27519218,0.509828292,284.5679072
2005,Abu Dhabi National Oil Company,839.5,Million bbl/yr,311.8134836,4.971751249,1.195054175,16.79375537,0.599776978,334.7740444
2006,Abu Dhabi National Oil Company,894.3,Million bbl/yr,332.167717,5.29629201,1.273063667,17.89000051,0.63892859,356.6270732
2007,Abu Dhabi National Oil Company,846.8,Million bbl/yr,314.5249052,5.014983869,1.20544595,16.93978803,0.60499243,337.6851231
2008,Abu Dhabi National Oil Company,888.8,Million bbl/yr,330.1248651,5.263719488,1.265234247,17.77997591,0.63499914,354.4337947
2009,Abu Dhabi National Oil Company,779.3,Million bbl/yr,289.4535411,4.615230195,1.109357616,15.58948608,0.55676736,310.767615
2010,Abu Dhabi National Oil Company,789.1,Million bbl/yr,293.0935318,4.673268506,1.123308218,15.78552991,0.563768926,314.6756384
2011,Abu Dhabi National Oil Company,913.191,Million bbl/yr,339.1843561,5.408169738,1.299955589,18.26790502,0.652425179,364.1603864
2012,Abu Dhabi National Oil Company,948.2,Million bbl/yr,352.1876655,5.615502721,1.349791981,18.96824162,0.677437201,378.1212018
2012,Abu Dhabi National Oil Company,1959.136813,Bcf/yr,104.6840267,0.181685828,2.987025229,28.95484282,1.034101529,142.8022471
2013,Abu Dhabi National Oil Company,996.928,Million bbl/yr,370.2865904,5.904083418,1.419157794,19.9430196,0.7122507,397.5528512
2013,Abu Dhabi National Oil Company,1934.149146,Bcf/yr,103.3488419,0.179368529,2.948927435,28.5855404,1.020912157,140.9808863
2014,Abu Dhabi National Oil Company,1002.179,Million bbl/yr,372.2369568,5.935181293,1.426632755,20.04806309,0.716002253,399.6468339
2014,Abu Dhabi National Oil Company,1964.320589,Bcf/yr,104.9610153,0.18216656,2.994928746,29.03145586,1.036837709,143.1800945
2015,Abu Dhabi National Oil Company,1068.575,Million bbl/yr,396.8982648,6.328396773,1.521149511,21.3762801,0.763438575,426.1240912
2015,Abu Dhabi National Oil Company,1918.427996,Bcf/yr,102.5088019,0.177910586,2.924957964,28.35319143,1.012613979,139.8349655
2016,Abu Dhabi National Oil Company,1095,Million bbl/yr,406.7132395,6.484892934,1.558766315,21.90489831,0.782317797,436.6617971
2016,Abu Dhabi National Oil Company,1965.869177,Bcf/yr,105.0437621,0.182310172,2.997289822,29.05434304,1.037655109,143.2929717
2017,Abu Dhabi National Oil Company,1186.25,Million bbl/yr,440.6060095,7.025300678,1.688663508,23.7303065,0.847510947,473.0502802
2017,Abu Dhabi National Oil Company,2129.691609,Bcf/yr,113.797409,0.197502686,3.247063974,31.4755383,1.124126368,155.2340527
2018,Abu Dhabi National Oil Company,1277.5,Million bbl/yr,474.4987794,7.565708423,1.818560701,25.55571469,0.912704096,509.4387633
2018,Abu Dhabi National Oil Company,2510.134941,Bcf/yr,134.1259229,0.232784123,3.8271122,37.09825786,1.324937781,182.9647157
2019,Abu Dhabi National Oil Company,1350.5,Million bbl/yr,501.6129954,7.998034618,1.922478455,27.01604125,0.964858616,538.5495497
2019,Abu Dhabi National Oil Company,2612.589429,Bcf/yr,139.6004504,0.242285516,3.983320862,38.61247248,1.379016874,190.4326633
2020,Abu Dhabi National Oil Company,1277.5,Million bbl/yr,474.4987794,7.565708423,1.818560701,25.55571469,0.912704096,509.4387633
2020,Abu Dhabi National Oil Company,2689.430294,Bcf/yr,143.706346,0.249411561,4.100477357,39.74813342,1.419576194,196.033624
2021,Abu Dhabi National Oil Company,1277.5,Million bbl/yr,474.4987794,7.565708423,1.818560701,25.55571469,0.912704096,509.4387633
2021,Abu Dhabi National Oil Company,2689.430294,Bcf/yr,143.706346,0.249411561,4.100477357,39.74813342,1.419576194,196.033624
2022,Abu Dhabi National Oil Company,1277.5,Million bbl/yr,474.4987794,7.565708423,1.818560701,25.55571469,0.912704096,509.4387633
2022,Abu Dhabi National Oil Company,2689.430294,Bcf/yr,143.706346,0.249411561,4.100477357,39.74813342,1.419576194,196.033624
1962,Abu Dhabi National Oil Company,1.84325,Bcf/yr,0.09849176,0.000170939,0.002810337,0.027242107,0.000972932,0.134355212
1963,Abu Dhabi National Oil Company,4.4238,Bcf/yr,0.236380223,0.000410253,0.006744808,0.065381056,0.002335038,0.322452509
1964,Abu Dhabi National Oil Company,17.32655,Bcf/yr,0.925822541,0.001606824,0.026417166,0.256075803,0.009145564,1.262938993
1965,Abu Dhabi National Oil Company,25.0682,Bcf/yr,1.339487932,0.002324767,0.03822058,0.370492651,0.01323188,1.827230884
1966,Abu Dhabi National Oil Company,29.86065,Bcf/yr,1.595566507,0.002769208,0.045527456,0.441322128,0.015761505,2.176554435
1967,Abu Dhabi National Oil Company,29.86065,Bcf/yr,1.595566507,0.002769208,0.045527456,0.441322128,0.015761505,2.176554435
1968,Abu Dhabi National Oil Company,39.0769,Bcf/yr,2.088025305,0.003623902,0.05957914,0.577532661,0.020626166,2.848330495
1969,Abu Dhabi National Oil Company,47.1872,Bcf/yr,2.521389048,0.004376032,0.071944622,0.697397931,0.024907069,3.439493428
1970,Abu Dhabi National Oil Company,53.8229,Bcf/yr,2.875959383,0.004991412,0.082061834,0.795469515,0.028409626,3.923172191
1971,Abu Dhabi National Oil Company,72.9927,Bcf/yr,3.900273684,0.006769175,0.111289337,1.078787424,0.038528122,5.320466397
1972,Abu Dhabi National Oil Company,79.6284,Bcf/yr,4.254844019,0.007384554,0.121406549,1.176859008,0.042030679,5.80414516
1973,Abu Dhabi National Oil Company,97.3236,Bcf/yr,5.200364912,0.009025566,0.148385782,1.438383232,0.05137083,7.093955195
1974,Abu Dhabi National Oil Company,97.3236,Bcf/yr,5.200364912,0.009025566,0.148385782,1.438383232,0.05137083,7.093955195
1975,Abu Dhabi National Oil Company,85.89545,Bcf/yr,4.589716001,0.007965746,0.130961694,1.269482171,0.045338649,6.260952881
1976,Abu Dhabi National Oil Company,97.76598,Bcf/yr,5.224002934,0.009066591,0.149060263,1.444921337,0.051604333,7.126200446
1977,Abu Dhabi National Oil Company,145.124,Bcf/yr,7.754519535,0.013458465,0.221265328,2.144843883,0.076601567,10.57814501
1978,Abu Dhabi National Oil Company,190.968,Bcf/yr,10.20413637,0.017709932,0.291162021,2.82239014,0.100799648,13.91973207
1979,Abu Dhabi National Oil Company,202.0494,Bcf/yr,10.79625713,0.018737595,0.308057432,2.986166449,0.106648802,14.72745964
1980,Abu Dhabi National Oil Company,254.2225,Bcf/yr,13.58406151,0.023576008,0.387603875,3.757252929,0.134187605,18.53037726
1981,Abu Dhabi National Oil Company,312.732,Bcf/yr,16.71044351,0.029002044,0.4768112,4.621987523,0.165070983,22.79515756
1982,Abu Dhabi National Oil Company,329.29935,Bcf/yr,17.59569914,0.030538462,0.502070841,4.866842814,0.173815815,24.00275817
1983,Abu Dhabi National Oil Company,310.9508,Bcf/yr,16.61526731,0.02883686,0.474095468,4.595662477,0.164130803,22.6653252
1984,Abu Dhabi National Oil Company,355.2764,Bcf/yr,18.98375034,0.032947514,0.541677112,5.250767711,0.187527418,25.89623548
1985,Abu Dhabi National Oil Company,385.586,Bcf/yr,20.60330593,0.035758356,0.587889065,5.698725046,0.203525894,28.10551406
1986,Abu Dhabi National Oil Company,397.3098,Bcf/yr,21.22975253,0.036845594,0.60576392,5.871995633,0.20971413,28.96006642
1987,Abu Dhabi National Oil Company,408.6978,Bcf/yr,21.83825607,0.037901691,0.623126793,6.040303302,0.215725118,29.79014218
1988,Abu Dhabi National Oil Company,419.75,Bcf/yr,22.42881656,0.038926647,0.639977684,6.203648052,0.221558859,30.59574135
1989,Abu Dhabi National Oil Company,461.506,Bcf/yr,24.65999623,0.042799002,0.703641551,6.820776172,0.243599149,33.63935249
1990,Abu Dhabi National Oil Company,487.8882,Bcf/yr,26.06969611,0.045245626,0.74386554,7.210688938,0.257524605,35.56236135
1991,Abu Dhabi National Oil Company,554.65254,Bcf/yr,29.63716516,0.051437197,0.84565872,8.197425014,0.292765179,40.42884016
1992,Abu Dhabi National Oil Company,586.6791,Bcf/yr,31.34846436,0.054407266,0.894488461,8.670757966,0.309669927,42.76326862
1993,Abu Dhabi National Oil Company,599.17451,Bcf/yr,32.01614097,0.055566062,0.913539762,8.855432476,0.316265446,43.67406393
1994,Abu Dhabi National Oil Company,696.5514,Bcf/yr,37.21935337,0.06459657,1.062006794,10.2946033,0.367664404,50.77190345
1995,Abu Dhabi National Oil Company,621.3687,Bcf/yr,33.20205977,0.0576243,0.947378443,9.183449018,0.327980322,45.2918071
1996,Abu Dhabi National Oil Company,666.9343695,Bcf/yr,35.63680437,0.061849955,1.016850776,9.856881721,0.35203149,48.61310654
1997,Abu Dhabi National Oil Company,712.6814205,Bcf/yr,38.08124085,0.066092431,1.086599654,10.53299513,0.376178398,51.94762694
1998,Abu Dhabi National Oil Company,861.6736398,Bcf/yr,46.04245385,0.079909625,1.313762716,12.73500893,0.454821747,62.80772797
1999,Abu Dhabi National Oil Company,1023.4287,Bcf/yr,54.6856333,0.094910416,1.560384822,15.1256497,0.540201775,74.59811745
2000,Abu Dhabi National Oil Company,1031.83367,Bcf/yr,55.13474236,0.095689874,1.573199577,15.24987001,0.544638215,75.21075899
2001,Abu Dhabi National Oil Company,1081.027465,Bcf/yr,57.76335131,0.100251993,1.648203581,15.97692419,0.570604435,78.79651392
2002,Abu Dhabi National Oil Company,1190.53928,Bcf/yr,63.61497825,0.110407866,1.815172295,17.59544178,0.628408635,86.77887286
2003,Abu Dhabi National Oil Company,1228.856055,Bcf/yr,65.66238723,0.113961275,1.8735925,18.16174026,0.648633581,89.57179755
2004,Abu Dhabi National Oil Company,1269.64488,Bcf/yr,67.84188711,0.117743937,1.93578175,18.76457412,0.670163361,92.54491092
2005,Abu Dhabi National Oil Company,1279.53308,Bcf/yr,68.37025071,0.118660946,1.950857932,18.91071566,0.675382702,93.26566568
2006,Abu Dhabi National Oil Company,1341.33433,Bcf/yr,71.67252326,0.124392251,2.045084069,19.82410031,0.708003582,97.77038292
2007,Abu Dhabi National Oil Company,1396.21384,Bcf/yr,74.60494127,0.12948165,2.128756878,20.63518587,0.736970924,101.7705718
2008,Abu Dhabi National Oil Company,1382.86477,Bcf/yr,73.8916504,0.128243688,2.108404032,20.43789479,0.729924814,100.7975529
2009,Abu Dhabi National Oil Company,1305.217683,Bcf/yr,69.74267537,0.121042877,1.99001832,19.29031837,0.688939942,95.13782642
2010,Abu Dhabi National Oil Company,1394.2362,Bcf/yr,74.49926855,0.129298249,2.125741642,20.60595756,0.735927056,101.6264209
2011,Abu Dhabi National Oil Company,1618.077754,Bcf/yr,86.45996219,0.150056798,2.467024785,23.91419871,0.854078525,117.9423191
2012,Adani Enterprises,4,Million tonnes/yr,7.256589796,0.00E+00,0.00E+00,0.819771978,0.029277571,8.076361774
2013,Adani Enterprises,4.09,Million tonnes/yr,7.419863066,0.00E+00,0.00E+00,0.838216848,0.029936316,8.258079914
2014,Adani Enterprises,7.92,Million tonnes/yr,14.3680478,0.00E+00,0.00E+00,1.623148517,0.05796959,15.99119631
2015,Adani Enterprises,10.36,Million tonnes/yr,18.79456757,0.00E+00,0.00E+00,2.123209424,0.075828908,20.917777
2016,Adani Enterprises,11.45,Million tonnes/yr,20.77198829,0.00E+00,0.00E+00,2.346597288,0.083807046,23.11858558
2017,Adani Enterprises,11.15,Million tonnes/yr,20.22774406,0.00E+00,0.00E+00,2.28511439,0.081611228,22.51285845
2018,Adani Enterprises,16.9,Million tonnes/yr,30.65909189,0.00E+00,0.00E+00,3.463536609,0.123697736,34.1226285
2019,Adani Enterprises,13.261,Million tonnes/yr,24.05740932,0.00E+00,0.00E+00,2.717749052,0.097062466,26.77515837
2020,Adani Enterprises,15.72,Million tonnes/yr,28.5183979,0.00E+00,0.00E+00,3.221703875,0.115060853,31.74010177
2021,Adani Enterprises,26.78,Million tonnes/yr,48.58286868,0.00E+00,0.00E+00,5.488373396,0.196013336,54.07124208
2022,Adani Enterprises,34.9,Million tonnes/yr,63.31374597,0.00E+00,0.00E+00,7.152510512,0.255446804,70.46625648
1992,Adaro Energy,1,Million tonnes/yr,1.814147449,0.00E+00,0.00E+00,0.204942995,0.007319393,2.019090444
1993,Adaro Energy,1.4,Million tonnes/yr,2.539806429,0.00E+00,0.00E+00,0.286920192,0.01024715,2.826726621
1994,Adaro Energy,2.4,Million tonnes/yr,4.353953878,0.00E+00,0.00E+00,0.491863187,0.017566542,4.845817065
1995,Adaro Energy,5.5,Million tonnes/yr,9.97781097,0.00E+00,0.00E+00,1.12718647,0.04025666,11.10499744
1996,Adaro Energy,8.6,Million tonnes/yr,15.60166806,0.00E+00,0.00E+00,1.762509754,0.062946777,17.36417782
1997,Adaro Energy,9.4,Million tonnes/yr,17.05298602,0.00E+00,0.00E+00,1.926464149,0.068802291,18.97945017
1998,Adaro Energy,10.9,Million tonnes/yr,19.77420719,0.00E+00,0.00E+00,2.233878641,0.07978138,22.00808584
1999,Adaro Energy,13.6,Million tonnes/yr,24.67240531,0.00E+00,0.00E+00,2.787224727,0.09954374,27.45963003
2000,Adaro Energy,15.5,Million tonnes/yr,28.11928546,0.00E+00,0.00E+00,3.176616417,0.113450586,31.29590188
2001,Adaro Energy,17.7,Million tonnes/yr,32.11040985,0.00E+00,0.00E+00,3.627491005,0.12955325,35.73790085
2002,Adaro Energy,20.8,Million tonnes/yr,37.73426694,0.00E+00,0.00E+00,4.262814288,0.152243367,41.99708123
2003,Adaro Energy,22.5,Million tonnes/yr,40.8183176,0.00E+00,0.00E+00,4.611217379,0.164686335,45.42953498
2004,Adaro Energy,24.3,Million tonnes/yr,44.08378301,0.00E+00,0.00E+00,4.980114769,0.177861242,49.06389778
2005,Adaro Energy,26.7,Million tonnes/yr,48.43773689,0.00E+00,0.00E+00,5.471977956,0.195427784,53.90971484
2006,Adaro Energy,34.4,Million tonnes/yr,62.40667225,0.00E+00,0.00E+00,7.050039015,0.251787108,69.45671126
2007,Adaro Energy,36.1,Million tonnes/yr,65.49072291,0.00E+00,0.00E+00,7.398442106,0.264230075,72.88916501
2008,Adaro Energy,38.5,Million tonnes/yr,69.84467679,0.00E+00,0.00E+00,7.890305293,0.281796618,77.73498208
2009,Adaro Energy,40.6,Million tonnes/yr,73.65438643,0.00E+00,0.00E+00,8.320685582,0.297167342,81.97507201
2010,Adaro Energy,42.2,Million tonnes/yr,76.55702235,0.00E+00,0.00E+00,8.648594373,0.30887837,85.20561672
2011,Adaro Energy,47.7,Million tonnes/yr,86.53483332,0.00E+00,0.00E+00,9.775780843,0.34913503,96.31061416
2012,Adaro Energy,47.2,Million tonnes/yr,85.62775959,0.00E+00,0.00E+00,9.673309346,0.345475334,95.30106894
2013,Adaro Energy,52.3,Million tonnes/yr,94.87991158,0.00E+00,0.00E+00,10.71851862,0.382804236,105.5984302
2014,Adaro Energy,56.2,Million tonnes/yr,101.9550866,0.00E+00,0.00E+00,11.5177963,0.411349868,113.4728829
2015,Adaro Energy,51.5,Million tonnes/yr,93.42859362,0.00E+00,0.00E+00,10.55456422,0.376948722,103.9831578
2016,Adaro Energy,52.38,Million tonnes/yr,95.02504338,0.00E+00,0.00E+00,10.73491406,0.383389788,105.7599574
2016,Adaro Energy,0.22,Million tonnes/yr,0.586409479,0.00E+00,0.00E+00,0.066246277,0.002365938,0.652655757
2017,Adaro Energy,50.9,Million tonnes/yr,92.34010515,0.00E+00,0.00E+00,10.43159843,0.372557087,102.7717036
2017,Adaro Energy,0.9,Million tonnes/yr,2.398947871,0.00E+00,0.00E+00,0.271007498,0.009678839,2.669955368
2018,Adaro Energy,48.23,Million tonnes/yr,87.49633147,0.00E+00,0.00E+00,9.884400631,0.353014308,97.3807321
2018,Adaro Energy,5.77,Million tonnes/yr,15.37992135,0.00E+00,0.00E+00,1.737459179,0.062052114,17.11738053
2019,Adaro Energy,52.8073,Million tonnes/yr,95.80022858,0.00E+00,0.00E+00,10.8224862,0.386517364,106.6227148
2019,Adaro Energy,5.2227,Million tonnes/yr,13.92109449,0.00E+00,0.00E+00,1.572656509,0.056166304,15.493751
2020,Adaro Energy,49.6223,Million tonnes/yr,90.02216896,0.00E+00,0.00E+00,10.16974276,0.363205099,100.1919117
2020,Adaro Energy,4.9077,Million tonnes/yr,13.08146274,0.00E+00,0.00E+00,1.477803885,0.05277871,14.55926662
2021,Adaro Energy,49.8542,Million tonnes/yr,90.44286975,0.00E+00,0.00E+00,10.21726904,0.364902466,100.6601388
2021,Adaro Energy,2.8458,Million tonnes/yr,7.585473167,0.00E+00,0.00E+00,0.856925708,0.03060449,8.442398874
2022,Adaro Energy,59.51,Million tonnes/yr,107.9599147,0.00E+00,0.00E+00,12.19615761,0.435577057,120.1560723
2022,Adaro Energy,3.37,Million tonnes/yr,8.982727027,0.00E+00,0.00E+00,1.014772519,0.036241876,9.997499546
1996,Alliance Resource Partners,8.164746441,Million tonnes/yr,19.91093254,0.00E+00,0.00E+00,2.249324411,0.080333015,22.16025695
1997,Alliance Resource Partners,9.888415134,Million tonnes/yr,24.11435164,0.00E+00,0.00E+00,2.724181786,0.097292207,26.83853342
1998,Alliance Resource Partners,12.15640026,Million tonnes/yr,29.64516623,0.00E+00,0.00E+00,3.348994122,0.119606933,32.99416036
1999,Alliance Resource Partners,12.79143609,Million tonnes/yr,31.19379432,0.00E+00,0.00E+00,3.523941577,0.125855056,34.7177359
2000,Alliance Resource Partners,12.42855847,Million tonnes/yr,30.30886398,0.00E+00,0.00E+00,3.423971603,0.1222847,33.73283559
2001,Alliance Resource Partners,14.24294657,Million tonnes/yr,34.73351566,0.00E+00,0.00E+00,3.923821472,0.140136481,38.65733713
2002,Alliance Resource Partners,16.32949288,Million tonnes/yr,39.82186509,0.00E+00,0.00E+00,4.498648821,0.160666029,44.32051391
2003,Alliance Resource Partners,17.41812574,Million tonnes/yr,42.47665609,0.00E+00,0.00E+00,4.798558743,0.171377098,47.27521484
2004,Alliance Resource Partners,18.48589314,Million tonnes/yr,45.08056361,0.00E+00,0.00E+00,5.09272039,0.181882871,50.173284
2005,Alliance Resource Partners,20.77474372,Million tonnes/yr,50.6622617,0.00E+00,0.00E+00,5.723281,0.204402893,56.3855427
2006,Alliance Resource Partners,21.50049896,Million tonnes/yr,52.43212237,0.00E+00,0.00E+00,5.923220948,0.211543605,58.35534331
2007,Alliance Resource Partners,22.04481539,Million tonnes/yr,53.75951787,0.00E+00,0.00E+00,6.073175908,0.21689914,59.83269378
2008,Alliance Resource Partners,23.97623152,Million tonnes/yr,58.46955958,0.00E+00,0.00E+00,6.605266094,0.235902361,65.07482567
2009,Alliance Resource Partners,23.44007984,Million tonnes/yr,57.16207501,0.00E+00,0.00E+00,6.457560458,0.230627159,63.61963547
2010,Alliance Resource Partners,26.18162025,Million tonnes/yr,63.84772369,0.00E+00,0.00E+00,7.21283361,0.2576012,71.0605573
2011,Alliance Resource Partners,27.89893859,Million tonnes/yr,68.0356565,0.00E+00,0.00E+00,7.685941511,0.274497911,75.72159801
2012,Alliance Resource Partners,31.57035291,Million tonnes/yr,76.98893917,0.00E+00,0.00E+00,8.697387721,0.31062099,85.68632689
2013,Alliance Resource Partners,35.18279961,Million tonnes/yr,85.79842066,0.00E+00,0.00E+00,9.69258881,0.346163886,95.49100947
2014,Alliance Resource Partners,36.9672503,Million tonnes/yr,90.15006558,0.00E+00,0.00E+00,10.18419116,0.363721113,100.3342567
2015,Alliance Resource Partners,37.35643655,Million tonnes/yr,91.09915337,0.00E+00,0.00E+00,10.29140895,0.36755032,101.3905623
2016,Alliance Resource Partners,31.97314706,Million tonnes/yr,77.97121184,0.00E+00,0.00E+00,8.808354392,0.314584085,86.77956624
2017,Alliance Resource Partners,34.11866099,Million tonnes/yr,83.20336245,0.00E+00,0.00E+00,9.399426862,0.335693816,92.60278931
2018,Alliance Resource Partners,36.52907558,Million tonnes/yr,89.0815122,0.00E+00,0.00E+00,10.06347741,0.359409908,99.14498962
2019,Alliance Resource Partners,1.105,Million bbl/yr,0.410427516,0.006544116,0.001573002,0.022104943,0.000789462,0.440649576
2019,Alliance Resource Partners,3.664,Bcf/yr,0.19578126,0.000339791,0.005586369,0.054151677,0.001933988,0.26707039
2019,Alliance Resource Partners,36.27052527,Million tonnes/yr,88.45099934,0.00E+00,0.00E+00,9.992248806,0.356866029,98.44324815
2020,Alliance Resource Partners,1.285,Million bbl/yr,0.477284487,0.007610125,0.001829237,0.025705748,0.000918062,0.512429597
2020,Alliance Resource Partners,3.635,Bcf/yr,0.194231681,0.000337102,0.005542153,0.053723075,0.001918681,0.264956569
2020,Alliance Resource Partners,24.48516738,Million tonnes/yr,59.71067437,0.00E+00,0.00E+00,6.745473982,0.240909785,66.45614836
2021,Alliance Resource Partners,1.182,Million bbl/yr,0.439027442,0.007000131,0.001682614,0.023645287,0.000844475,0.471355474
2021,Alliance Resource Partners,3.49,Bcf/yr,0.186483788,0.000323655,0.005321077,0.051580064,0.001842145,0.254387462
2021,Alliance Resource Partners,29.21799874,Million tonnes/yr,71.25237827,0.00E+00,0.00E+00,8.049332366,0.287476156,79.30171064
2022,Alliance Resource Partners,1.513,Million bbl/yr,0.561969983,0.008960405,0.002153802,0.030266768,0.001080956,0.603350958
2022,Alliance Resource Partners,4.838,Bcf/yr,0.258512483,0.000448665,0.007376324,0.071502678,0.002553667,0.352643709
2022,Alliance Resource Partners,32.18452328,Million tonnes/yr,78.48668376,0.00E+00,0.00E+00,8.866586901,0.316663818,87.35327067
2021,Alpha Metallurgical Resources,1.147600472,Million tonnes/yr,2.798592185,0.00E+00,0.00E+00,0.316155042,0.011291252,3.114747228
2021,Alpha Metallurgical Resources,13.27950649,Million tonnes/yr,35.39649313,0.00E+00,0.00E+00,3.998717582,0.142811342,39.39521071
2022,Alpha Metallurgical Resources,0.816474644,Million tonnes/yr,1.991093254,0.00E+00,0.00E+00,0.224932441,0.008033301,2.216025695
